GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tracker,ru.job4j.tracker,FindByNameAction,2,31,0,2,1,8,1,3,1,2
tracker,ru.job4j.tracker,StartUI,43,59,0,4,4,16,1,6,1,4
tracker,ru.job4j.tracker,ItemByNameDescComparator,9,0,0,0,2,0,2,0,2,0
tracker,ru.job4j.tracker,FindByIdAction,24,0,2,0,8,0,4,0,3,0
tracker,ru.job4j.tracker,DeleteAction,5,17,1,1,2,5,2,2,1,2
tracker,ru.job4j.tracker,ConsoleInput,50,0,4,0,9,0,6,0,4,0
tracker,ru.job4j.tracker,ExitAction,7,0,0,0,3,0,3,0,3,0
tracker,ru.job4j.tracker,StubAction,0,16,0,0,0,6,0,4,0,4
tracker,ru.job4j.tracker,StubInput,0,54,0,4,0,10,0,6,0,4
tracker,ru.job4j.tracker,CreateAction,2,18,0,0,1,5,1,2,1,2
tracker,ru.job4j.tracker,Bug,4,0,0,0,2,0,1,0,1,0
tracker,ru.job4j.tracker,FindAllAction,2,26,0,2,1,7,1,3,1,2
tracker,ru.job4j.tracker,ValidateInput,9,48,0,4,3,21,1,5,1,3
tracker,ru.job4j.tracker,ItemByNameAscComparator,0,9,0,0,0,2,0,2,0,2
tracker,ru.job4j.tracker,ReplaceAction,5,27,1,1,2,7,2,2,1,2
tracker,ru.job4j.tracker,Tracker,2,140,2,12,0,35,2,14,0,9
tracker,ru.job4j.tracker,Item,4,22,0,0,2,8,1,5,1,5
